epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
99,782.086,0.89925,0.76641,0.95527,0.62485,0.27739,0.29429,0.16832,1.50948,2.22861,1.49227,0.000752182,0.000752182,0.000752182
100,789.859,0.85857,0.72566,0.94662,0.52023,0.18881,0.22947,0.12634,1.86441,3.54836,1.57287,0.000751358,0.000751358,0.000751358
101,797.634,0.8645,0.72751,0.95807,0.12854,0.12777,0.10967,0.04833,2.43141,5.3019,2.00378,0.000750533,0.000750533,0.000750533
102,805.397,0.84187,0.7311,0.94591,0.60048,0.44335,0.48722,0.28759,1.19762,1.61214,1.099,0.000749708,0.000749708,0.000749708
103,813.225,0.87248,0.72565,0.95212,0.62855,0.49035,0.48686,0.29092,1.2803,1.38206,1.23374,0.000748884,0.000748884,0.000748884
104,821.018,0.82398,0.70207,0.93081,0.55117,0.34488,0.32387,0.18961,1.56192,1.93289,1.37826,0.000748059,0.000748059,0.000748059
105,828.844,0.84572,0.71001,0.94564,0.69941,0.6263,0.65917,0.44476,0.98379,1.00317,0.97369,0.000747234,0.000747234,0.000747234
106,836.673,0.84754,0.69901,0.94086,0.70149,0.54711,0.58251,0.38505,1.10983,1.12816,1.09794,0.00074641,0.00074641,0.00074641
107,844.479,0.84748,0.6999,0.94581,0.6737,0.68312,0.68042,0.44697,1.02363,0.94506,1.00405,0.000745585,0.000745585,0.000745585
108,852.276,0.87593,0.74598,0.95293,0.57867,0.52323,0.54746,0.32783,1.24629,1.3298,1.20683,0.00074476,0.00074476,0.00074476
109,860.071,0.86313,0.70485,0.95903,0.69446,0.63739,0.65809,0.43442,1.02957,1.02508,1.00446,0.000743936,0.000743936,0.000743936
110,867.846,0.84321,0.68338,0.94197,0.66648,0.61625,0.61806,0.42078,1.02555,1.10334,0.9942,0.000743111,0.000743111,0.000743111
111,875.658,0.84256,0.70454,0.93576,0.63638,0.6454,0.63142,0.41529,1.07462,1.09301,1.03796,0.000742286,0.000742286,0.000742286
112,883.414,0.83131,0.68362,0.93092,0.67517,0.64059,0.66705,0.44843,1.0253,0.96887,1.01051,0.000741462,0.000741462,0.000741462
113,891.193,0.83847,0.69318,0.93887,0.73732,0.63268,0.68923,0.46346,1.00269,0.96298,0.99822,0.000740637,0.000740637,0.000740637
114,898.974,0.84164,0.706,0.94104,0.66292,0.6649,0.67163,0.44286,1.04628,0.96239,1.01654,0.000739812,0.000739812,0.000739812
115,906.768,0.84788,0.71872,0.95123,0.77078,0.65068,0.69914,0.47435,1.01961,0.9258,1.00874,0.000738988,0.000738988,0.000738988
116,914.618,0.85689,0.69877,0.94119,0.67747,0.60754,0.61858,0.39261,1.19386,1.19299,1.10926,0.000738163,0.000738163,0.000738163
117,922.526,0.83712,0.69376,0.94402,0.72709,0.57856,0.61958,0.4195,1.03902,1.08234,1.00637,0.000737338,0.000737338,0.000737338
118,930.343,0.84493,0.67491,0.93993,0.60082,0.51727,0.54839,0.34544,1.2085,1.48357,1.10058,0.000736514,0.000736514,0.000736514
119,938.161,0.81965,0.67005,0.93191,0.74308,0.65849,0.6875,0.45166,1.01834,0.94747,0.99318,0.000735689,0.000735689,0.000735689
120,945.925,0.81053,0.66545,0.93383,0.76879,0.61204,0.6812,0.45403,1.02907,0.94132,1.03287,0.000734864,0.000734864,0.000734864
121,953.728,0.81045,0.6613,0.93561,0.72301,0.66386,0.68482,0.443,1.05228,0.94618,1.03137,0.00073404,0.00073404,0.00073404
122,961.54,0.82449,0.68948,0.93568,0.67765,0.55853,0.59924,0.39135,1.12353,1.21586,1.05036,0.000733215,0.000733215,0.000733215
123,969.373,0.83355,0.6742,0.93177,0.524,0.30855,0.326,0.1711,1.58768,2.41296,1.32706,0.00073239,0.00073239,0.00073239
124,977.188,0.82287,0.67633,0.93892,0.65105,0.5847,0.60042,0.38252,1.13791,1.32557,1.05782,0.000731566,0.000731566,0.000731566
125,985.03,0.82957,0.67491,0.93639,0.57419,0.51922,0.52482,0.31705,1.23094,1.7443,1.09698,0.000730741,0.000730741,0.000730741
126,992.849,0.8309,0.6818,0.94352,0.7442,0.63437,0.68945,0.46571,1.0121,0.95791,0.98263,0.000729916,0.000729916,0.000729916
127,1000.64,0.81374,0.67135,0.93817,0.73485,0.61169,0.66549,0.45373,1.0224,0.97211,0.99907,0.000729092,0.000729092,0.000729092
128,1008.43,0.83324,0.66571,0.93953,0.77245,0.55179,0.61177,0.40924,1.06317,1.16924,1.02463,0.000728267,0.000728267,0.000728267
129,1016.25,0.84153,0.67831,0.93849,0.70769,0.54761,0.57141,0.37353,1.18556,1.19589,1.11665,0.000727442,0.000727442,0.000727442
130,1024.05,0.83234,0.66016,0.93626,0.65121,0.59817,0.60014,0.40138,1.0704,1.16598,1.02643,0.000726618,0.000726618,0.000726618
131,1031.81,0.81309,0.66506,0.93696,0.51875,0.43142,0.3971,0.25978,1.2873,1.91404,1.14674,0.000725793,0.000725793,0.000725793
132,1039.6,0.81244,0.65541,0.92927,0.66932,0.5891,0.6213,0.42608,1.0692,1.10277,1.02817,0.000724968,0.000724968,0.000724968
133,1047.44,0.8168,0.64568,0.93363,0.72928,0.61408,0.67481,0.46537,0.99353,0.98078,0.98798,0.000724144,0.000724144,0.000724144
134,1055.29,0.7969,0.65135,0.92844,0.69798,0.63429,0.67999,0.46511,0.96063,0.92544,0.96346,0.000723319,0.000723319,0.000723319
135,1063.04,0.80681,0.62478,0.92846,0.73217,0.67814,0.69731,0.4476,1.04661,0.92585,1.01282,0.000722494,0.000722494,0.000722494
136,1070.74,0.80288,0.63672,0.92971,0.76687,0.65505,0.70172,0.4722,0.96984,0.90118,0.9695,0.00072167,0.00072167,0.00072167
