epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
100,1158.16,0.92801,0.80805,0.98409,0.61319,0.47242,0.50007,0.30791,1.21533,2.12316,1.10924,0.0090199,0.0090199,0.0090199
101,1165.83,0.93825,0.83312,0.97793,0.7286,0.64113,0.66131,0.44397,1.01978,1.035,1.01498,0.00901,0.00901,0.00901
102,1173.57,0.93252,0.82328,0.97778,0.77533,0.60061,0.64593,0.43154,1.0293,1.05277,1.02336,0.0090001,0.0090001,0.0090001
103,1181.29,0.91853,0.80572,0.97164,0.57084,0.51405,0.50017,0.32004,1.29385,1.49422,1.1641,0.0089902,0.0089902,0.0089902
104,1188.95,0.91717,0.79665,0.97151,0.57329,0.44258,0.46097,0.23869,1.66827,1.75444,1.82492,0.0089803,0.0089803,0.0089803
105,1196.72,0.90495,0.83494,0.974,0.72663,0.64923,0.66273,0.43877,1.08386,1.04955,1.03755,0.0089704,0.0089704,0.0089704
106,1204.36,0.90569,0.80923,0.96748,0.71521,0.67474,0.68093,0.45871,1.00856,0.95868,1.00918,0.0089605,0.0089605,0.0089605
107,1212.05,0.90245,0.78617,0.97245,0.73987,0.65678,0.6815,0.46511,1.0236,0.9794,1.01724,0.0089506,0.0089506,0.0089506
108,1219.73,0.90921,0.77246,0.96957,0.68508,0.5226,0.55433,0.33037,1.25127,1.33706,1.23066,0.0089407,0.0089407,0.0089407
109,1227.44,0.89867,0.79752,0.97308,0.69806,0.59281,0.61441,0.39509,1.06933,1.28919,1.04079,0.0089308,0.0089308,0.0089308
110,1235.15,0.93002,0.79294,0.9725,0.71028,0.66449,0.678,0.45383,1.01986,1.01273,1.00991,0.0089209,0.0089209,0.0089209
111,1242.9,0.89594,0.76701,0.95813,0.80199,0.65253,0.69711,0.46216,1.01821,0.96312,1.02012,0.008911,0.008911,0.008911
