epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
101,791.115,1.02896,0.98437,1.03069,0.65719,0.58128,0.62548,0.40561,1.13876,1.12157,1.08654,0.00901,0.00901,0.00901
102,798.877,1.00137,0.98328,1.0229,0.033,0.11703,0.02228,0.00419,3.58701,9.56233,5.55034,0.0090001,0.0090001,0.0090001
103,806.593,1.01994,0.96672,1.01421,0.64481,0.56098,0.59952,0.40401,1.09397,1.18824,1.03593,0.0089902,0.0089902,0.0089902
104,814.369,1.00753,0.96606,1.01223,0.58071,0.43221,0.41963,0.22703,1.47123,1.72864,1.35761,0.0089803,0.0089803,0.0089803
105,822.147,0.97708,0.97,1.0069,0.52232,0.08998,0.06594,0.01947,2.96873,4.02506,4.01923,0.0089704,0.0089704,0.0089704
106,829.933,0.98044,0.95569,1.00498,0.27286,0.15079,0.1428,0.07859,2.18528,3.52287,2.25922,0.0089605,0.0089605,0.0089605
107,837.687,0.99098,0.94709,1.02019,0.42694,0.37268,0.37241,0.19378,1.67479,2.33863,1.85297,0.0089506,0.0089506,0.0089506
108,845.479,0.98993,0.91179,1.00497,0.63541,0.54735,0.59416,0.39065,1.13115,1.34831,1.06732,0.0089407,0.0089407,0.0089407
109,853.313,1.01125,0.97478,1.0165,0.57517,0.63463,0.62773,0.41883,1.0802,1.08539,1.0273,0.0089308,0.0089308,0.0089308
110,861.082,1.01418,0.95531,1.00359,0.6009,0.50735,0.51338,0.33664,1.16307,1.73841,1.06852,0.0089209,0.0089209,0.0089209
111,868.909,0.97859,0.91223,0.99794,0.50692,0.40346,0.37706,0.19541,1.59835,2.27836,1.54646,0.008911,0.008911,0.008911
112,876.752,0.99416,0.96631,1.01549,0.45395,0.17394,0.12797,0.06114,2.46585,3.64764,2.99385,0.0089011,0.0089011,0.0089011
113,884.552,0.98863,0.93347,1.01103,0.63876,0.61594,0.62009,0.41076,1.09056,1.06877,1.03357,0.0088912,0.0088912,0.0088912
114,892.35,0.96658,0.89998,1.00782,0.35401,0.28979,0.26152,0.12035,2.12795,3.12105,2.5717,0.0088813,0.0088813,0.0088813
115,900.151,0.99089,0.90768,1.01357,0.48945,0.12776,0.14704,0.07162,2.32259,4.24303,2.87131,0.0088714,0.0088714,0.0088714
116,908.055,0.98445,0.89669,1.00713,0.56687,0.3156,0.29309,0.14607,1.79356,1.95204,2.11175,0.0088615,0.0088615,0.0088615
117,915.904,0.97069,0.92342,0.99811,0.60666,0.55943,0.55956,0.37108,1.10225,1.1748,1.06183,0.0088516,0.0088516,0.0088516
118,923.617,0.97356,0.9133,1.01201,0.4022,0.3582,0.32438,0.15489,1.81977,2.06308,2.08863,0.0088417,0.0088417,0.0088417
