epoch,time,train/giou_loss,train/cls_loss,train/l1_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/giou_loss,val/cls_loss,val/l1_loss,lr/pg0,lr/pg1,lr/pg2
105,5033.3,0.65745,0.58816,0.13447,0.75987,0.65469,0.69198,0.44914,0.53282,0.61339,0.16729,0.0089704,0.0089704,0.0089704
106,5081.65,0.59397,0.58807,0.12991,0.73839,0.63128,0.68108,0.40956,0.55229,0.63334,0.17077,0.0089605,0.0089605,0.0089605
107,5129.99,0.6328,0.5766,0.13044,0.63215,0.60026,0.62101,0.35072,0.56096,0.67791,0.16505,0.0089506,0.0089506,0.0089506
108,5178.04,0.6409,0.56744,0.13206,0.68962,0.64593,0.64467,0.38545,0.57461,0.60791,0.18325,0.0089407,0.0089407,0.0089407
109,5225.84,0.58645,0.58447,0.13301,0.6646,0.55635,0.57465,0.32866,0.65179,0.60238,0.21263,0.0089308,0.0089308,0.0089308
110,5273.57,0.75631,0.57258,0.15456,0.56678,0.5474,0.53121,0.26466,0.65854,0.70064,0.21284,0.0089209,0.0089209,0.0089209
111,5321.41,0.62034,0.59277,0.13895,0.73248,0.61224,0.64289,0.39791,0.48722,0.66989,0.15857,0.008911,0.008911,0.008911
112,5369.28,0.61243,0.56369,0.13012,0.68568,0.55495,0.58467,0.34085,0.58991,0.66243,0.16945,0.0089011,0.0089011,0.0089011
113,5417.08,0.6327,0.56318,0.14072,0.72341,0.58478,0.6131,0.36553,0.53843,0.65346,0.17023,0.0088912,0.0088912,0.0088912
114,5464.82,0.63074,0.58071,0.14086,0.64816,0.57312,0.58517,0.28228,0.65258,0.67055,0.1858,0.0088813,0.0088813,0.0088813
115,5512.59,0.71383,0.59085,0.15158,0.48316,0.4423,0.42282,0.19352,0.72343,0.68616,0.2052,0.0088714,0.0088714,0.0088714
116,5560.22,0.62017,0.63184,0.1291,0.75745,0.6291,0.67191,0.42711,0.52103,0.60643,0.16486,0.0088615,0.0088615,0.0088615
117,5608,0.6039,0.60114,0.1191,0.75866,0.66243,0.68615,0.4377,0.50927,0.59207,0.16162,0.0088516,0.0088516,0.0088516
118,5655.75,0.58392,0.58916,0.12094,0.76575,0.63816,0.68861,0.37715,0.60862,0.58895,0.16621,0.0088417,0.0088417,0.0088417
119,5703.52,0.66894,0.59825,0.13276,0.75804,0.60835,0.647,0.39186,0.51382,0.62649,0.15818,0.0088318,0.0088318,0.0088318
120,5751.23,0.54759,0.60569,0.11591,0.70649,0.58796,0.61451,0.36525,0.57123,0.65076,0.17477,0.0088219,0.0088219,0.0088219
121,5798.92,0.55451,0.5804,0.11856,0.57776,0.54226,0.52274,0.27277,0.71087,0.66574,0.20289,0.008812,0.008812,0.008812
122,5846.62,0.58969,0.54456,0.12559,0.72192,0.60397,0.63326,0.39998,0.53498,0.64117,0.18291,0.0088021,0.0088021,0.0088021
123,5894.47,0.58153,0.57788,0.1165,0.67713,0.61278,0.6162,0.35583,0.5575,0.59966,0.17809,0.0087922,0.0087922,0.0087922
124,5942.22,0.59473,0.56715,0.11885,0.73572,0.64415,0.66903,0.40847,0.52571,0.59428,0.16383,0.0087823,0.0087823,0.0087823
125,5990.11,0.59465,0.54595,0.1232,0.73183,0.55782,0.61713,0.34933,0.58859,0.5946,0.18365,0.0087724,0.0087724,0.0087724
126,6037.97,0.57475,0.5743,0.11798,0.77811,0.63163,0.67214,0.40475,0.55926,0.62528,0.16701,0.0087625,0.0087625,0.0087625
127,6085.73,0.60175,0.60092,0.12607,0.77058,0.65453,0.6931,0.44192,0.51419,0.60511,0.16429,0.0087526,0.0087526,0.0087526
128,6133.6,0.5784,0.59263,0.12338,0.72864,0.61041,0.65359,0.38565,0.56092,0.5987,0.16455,0.0087427,0.0087427,0.0087427
129,6181.3,0.59121,0.56926,0.12367,0.73738,0.59258,0.63263,0.38177,0.62446,0.55015,0.19778,0.0087328,0.0087328,0.0087328
130,6229.1,0.63748,0.55471,0.13416,0.69605,0.64064,0.66712,0.4316,0.47286,0.65559,0.15186,0.0087229,0.0087229,0.0087229
131,6276.85,0.59604,0.57261,0.12159,0.745,0.64376,0.66178,0.43571,0.4644,0.59362,0.14579,0.008713,0.008713,0.008713
132,6324.75,0.60909,0.59117,0.11883,0.7792,0.59613,0.65307,0.40552,0.52049,0.63482,0.15581,0.0087031,0.0087031,0.0087031
133,6372.69,0.59998,0.57321,0.1259,0.75993,0.62084,0.65658,0.41047,0.52989,0.60509,0.17547,0.0086932,0.0086932,0.0086932
134,6420.42,0.61119,0.58568,0.12532,0.77756,0.53494,0.60833,0.3306,0.64008,0.62608,0.18394,0.0086833,0.0086833,0.0086833
135,6468.25,0.58961,0.57624,0.12199,0.6693,0.61074,0.62353,0.36755,0.62575,0.61156,0.18107,0.0086734,0.0086734,0.0086734
136,6516,0.56202,0.56383,0.11935,0.77457,0.6701,0.69837,0.43056,0.50537,0.60755,0.16378,0.0086635,0.0086635,0.0086635
137,6563.8,0.62323,0.57316,0.13351,0.74619,0.62572,0.67019,0.40288,0.54994,0.60942,0.17017,0.0086536,0.0086536,0.0086536
138,6611.64,0.6027,0.56289,0.1204,0.79406,0.64642,0.68603,0.41098,0.56033,0.604,0.1761,0.0086437,0.0086437,0.0086437
139,6659.51,0.57169,0.56645,0.11841,0.74187,0.62991,0.6695,0.38405,0.58204,0.63071,0.17493,0.0086338,0.0086338,0.0086338
140,6707.41,0.58189,0.57196,0.12237,0.74776,0.63168,0.66408,0.41627,0.52626,0.63217,0.16377,0.0086239,0.0086239,0.0086239
